# COPERNICUS
#	EPS PER
#
#	Wavelegnth (A)	Mean Counts	  Mean Background	#Scans	Sigma
#	--------------  -----------   ---------------   ------  -----
      999.894       1732.96       3804.51        1       0.00000
      999.994       1788.60       3823.10        1       0.00000
      1000.09       1883.03       3850.82        1       0.00000
      1000.19       1992.07       3881.97        1       0.00000
      1000.29       1994.35       3922.62        1       0.00000
      1000.39       1967.65       3965.82        1       0.00000
      1000.49       1912.18       3971.18        1       0.00000
      1000.59       1851.53       3969.67        1       0.00000
      1000.69       1793.24       4011.42        1       0.00000
      1000.79       1735.13       4057.16        1       0.00000
      1000.89       1648.66       4095.04        1       0.00000
      1000.99       1568.05       4131.88        1       0.00000
      1001.09       1661.16       4145.94        1       0.00000
      1001.19       1737.86       4157.40        1       0.00000
      1001.29       1659.77       4144.26        1       0.00000
      1001.39       1507.04       4126.47        1       0.00000
      1001.49       978.897       4085.24        1       0.00000
      1001.59       544.727       4044.73        1       0.00000
      1001.69       430.385       4006.55        1       0.00000
      1001.79       457.551       3966.56        1       0.00000
      1001.89       837.671       3922.12        1       0.00000
      1001.99       981.007       3870.03        1       0.00000
      1002.09       696.343       3804.21        1       0.00000
      1002.19       439.188       3732.58        1       0.00000
      1002.29       220.460       3652.74        1       0.00000
      1002.39       344.425       3574.14        1       0.00000
      1002.49       830.157       3496.74        1       0.00000
      1002.59       1226.95       3427.71        1       0.00000
      1002.69       1550.15       3365.60        1       0.00000
      1002.79       1672.87       3312.62        1       0.00000
      1002.89       1670.62       3265.39        1       0.00000
      1002.99       1232.64       3221.74        1       0.00000
      1003.09       586.821       3179.84        1       0.00000
      1003.19       738.623       3136.24        1       0.00000
      1003.29       1162.22       3092.05        1       0.00000
      1003.39       1629.45       3046.82        1       0.00000
      1003.49       2106.19       3001.34        1       0.00000
      1003.59       2269.64       2948.90        1       0.00000
      1003.69       2397.08       2895.66        1       0.00000
      1003.79       2290.09       2851.29        1       0.00000
      1003.89       2187.47       2808.11        1       0.00000
      1003.99       2644.02       2793.03        1       0.00000
      1004.09       3056.88       2779.52        1       0.00000
      1004.19       3012.43       2782.55        1       0.00000
      1004.29       2947.77       2788.27        1       0.00000
      1004.39       2774.23       2808.47        1       0.00000
      1004.49       2604.35       2833.37        1       0.00000
      1004.59       2447.41       2874.27        1       0.00000
      1004.69       2256.42       2911.55        1       0.00000
      1004.79       1984.34       2940.20        1       0.00000
      1004.89       1720.86       2964.39        1       0.00000
      1004.99       1472.48       2980.56        1       0.00000
      1005.09       1200.68       2981.43        1       0.00000
      1005.19       897.217       2961.74        1       0.00000
      1005.29       1054.98       2939.28        1       0.00000
      1005.39       1681.14       2914.03        1       0.00000
      1005.49       1989.41       2894.77        1       0.00000
      1005.59       2053.78       2880.12        1       0.00000
      1005.69       1887.64       2872.88        1       0.00000
      1005.79       1589.47       2869.86        1       0.00000
      1005.89       1393.52       2876.33        1       0.00000
      1005.99       1241.91       2886.95        1       0.00000
      1006.09       1202.48       2899.87        1       0.00000
      1006.19       1197.14       2913.51        1       0.00000
      1006.29       1558.04       2914.47        1       0.00000
      1006.39       1990.28       2912.96        1       0.00000
      1006.49       2171.49       2930.20        1       0.00000
      1006.59       2326.36       2949.39        1       0.00000
      1006.69       2493.15       2960.70        1       0.00000
      1006.79       2667.21       2971.40        1       0.00000
      1006.89       2984.30       2973.42        1       0.00000
      1006.99       3319.33       2976.43        1       0.00000
      1007.09       3789.45       2987.04        1       0.00000
      1007.19       4263.27       2999.33        1       0.00000
      1007.29       4753.61       3019.04        1       0.00000
      1007.39       5129.92       3042.22        1       0.00000
      1007.49       5175.36       3075.57        1       0.00000
      1007.59       5170.08       3114.91        1       0.00000
      1007.69       5059.99       3166.68        1       0.00000
      1007.79       4824.53       3210.11        1       0.00000
      1007.89       4405.78       3241.27        1       0.00000
      1007.99       3789.33       3273.77        1       0.00000
      1008.09       2947.26       3307.78        1       0.00000
      1008.19       2214.48       3345.55        1       0.00000
      1008.29       1572.28       3386.48        1       0.00000
      1008.39       1324.97       3431.11        1       0.00000
      1008.49       1323.59       3478.11        1       0.00000
      1008.59       1740.12       3539.26        1       0.00000
      1008.69       2347.77       3606.91        1       0.00000
      1008.79       2639.67       3678.73        1       0.00000
      1008.89       2829.05       3751.84        1       0.00000
      1008.99       3514.54       3820.02        1       0.00000
      1009.09       4296.94       3887.19        1       0.00000
      1009.19       4223.99       3961.19        1       0.00000
      1009.29       4062.17       4035.95        1       0.00000
      1009.39       2929.20       4115.62        1       0.00000
      1009.49       1794.68       4195.75        1       0.00000
      1009.59       1150.04       4282.07        1       0.00000
      1009.69       625.192       4368.32        1       0.00000
      1009.79       933.232       4454.22        1       0.00000
      1009.89       1260.80       4534.13        1       0.00000
      1009.99       1669.52       4589.69        1       0.00000
      1010.09       2157.67       4639.33        1       0.00000
      1010.19       2866.16       4672.66        1       0.00000
      1010.29       3619.76       4700.44        1       0.00000
      1010.39       4461.33       4717.20        1       0.00000
      1010.49       5160.14       4732.03        1       0.00000
      1010.59       5657.60       4744.15        1       0.00000
      1010.69       5516.51       4751.12        1       0.00000
      1010.79       4697.83       4752.65        1       0.00000
      1010.89       5073.58       4754.17        1       0.00000
      1010.99       6365.85       4755.68        1       0.00000
      1011.09       6707.42       4762.69        1       0.00000
      1011.19       6505.67       4772.84        1       0.00000
      1011.29       6168.30       4794.53        1       0.00000
      1011.39       5777.35       4820.79        1       0.00000
      1011.49       5445.15       4845.58        1       0.00000
      1011.59       5129.22       4869.94        1       0.00000
      1011.69       4888.59       4874.09        1       0.00000
      1011.79       4659.51       4875.10        1       0.00000
      1011.89       3985.76       4902.71        1       0.00000
      1011.99       3293.65       4931.93        1       0.00000
      1012.09       3378.97       4946.07        1       0.00000
      1012.19       3414.64       4959.00        1       0.00000
      1012.29       2918.66       4959.00        1       0.00000
      1012.39       2375.70       4956.66        1       0.00000
      1012.49       1593.67       4942.51        1       0.00000
      1012.59       968.461       4923.21        1       0.00000
      1012.69       850.345       4887.16        1       0.00000
      1012.79       1307.96       4850.93        1       0.00000
      1012.89       3010.62       4814.39        1       0.00000
      1012.99       3719.78       4778.90        1       0.00000
      1013.09       2912.34       4745.06        1       0.00000
